QUESTIONNAIRE	name	use_case_in_charting	code_system	code	scoring_function_js	can_originate_in_charting	expected_completion_time	search_tags	scoring_code_system	scoring_code	content	prologue	use_in_shx
RESPONSE			Muscle Gain importance (0-5)	JMH_muscle_gain1									
QUESTION		Score Sports Performance	INTERNAL	JMH_sports_performance			INTERNAL	TXT	FALSE				
RESPONSE			Sports Performance importance (0-5)	JMH_sports_performance1									
QUESTION		Score Health Improvement	INTERNAL	JMH_health_improvement			INTERNAL	TXT	FALSE				
RESPONSE			Health Improvement importance (0-5)	JMH_health_improvement1									
QUESTION		Level of Stress	INTERNAL	JMH_Stress_Level			INTERNAL	SING	FALSE				
RESPONSE			1 - Never Stressed	JMH_Stress_Level1									
RESPONSE			2 - Rarely Stressed	JMH_Stress_Level2									
RESPONSE			3 - Moderate	JMH_Stress_Level3									
RESPONSE			4 - Frequently Stressed	JMH_Stress_Level4									
RESPONSE			5 - Always Stressed	JMH_Stress_Level5									
QUESTION		Stress Management	INTERNAL	JMH_manage_stress			INTERNAL	TXT	FALSE				
RESPONSE			How do you manage stress	JMH_manage_stress1									
QUESTION		Average sleep duration	INTERNAL	JMH_sleep_duration			INTERNAL	SING	FALSE				
RESPONSE			Less than 2hours	JMH_sleep_duration1									
RESPONSE			2 - 4 hours	JMH_sleep_duration2									
RESPONSE			4 - 6 hours	JMH_sleep_duration3									
RESPONSE			7 - 9 hours	JMH_sleep_duration4									
RESPONSE			10+ hours	JMH_sleep_duration5									
QUESTION		Rate your sleep quality	INTERNAL	JMH_sleep_quality			INTERNAL	SING	FALSE				
RESPONSE			1 - Poor	JMH_sleep_quality1									
RESPONSE			2 - Below Average	JMH_sleep_quality2									
RESPONSE			3 - Average	JMH_sleep_quality3									
RESPONSE			4 - Above Average	JMH_sleep_quality4									
RESPONSE			5 - Exceptional	JMH_sleep_quality5									
QUESTION		Bowel Movement Frequency	INTERNAL	JMH_bowel_movement_frequency			INTERNAL	TXT	FALSE				
RESPONSE			Bowl movement frequency / ease of passing	JMH_bowel_movement_frequency1									
QUESTION		Long Term Health Goals	INTERNAL	JMH_long_term_health_goals			INTERNAL	TXT	FALSE				
RESPONSE			Long term health goals	JMH_long_term_health_goals1									
QUESTION		Short Term Goals	INTERNAL	JMH_short_term_health_goals			INTERNAL	TXT	FALSE				
RESPONSE			Short term goals	JMH_short_term_health_goals1									
QUESTION		How can your dietitian best help	INTERNAL	JMH_how_can_we_help			INTERNAL	MULT	FALSE				
RESPONSE			Accountability / check ins	JMH_how_can_we_help1									
RESPONSE			Reading materials	JMH_how_can_we_help2									
RESPONSE			webinars / podcasts	JMH_how_can_we_help3									
RESPONSE			Planning tools	JMH_how_can_we_help4									
RESPONSE			Supplement recommendations	JMH_how_can_we_help5									
RESPONSE			Other	JMH_how_can_we_help6									
QUESTION		Why is this important to you	INTERNAL	JMH_why_is_this_important			INTERNAL	TXT	FALSE				
RESPONSE			Why is this important to you	JMH_why_is_this_important1									
